Wavelength [nm],CIE Standard Illuminant A,CIE Standard Illuminant D65,Illuminant E
300,0.930483,0.0341000,1
301,0.967643,0.360140,1
302,1.00597,0.686180,1
303,1.04549,1.01222,1
304,1.08623,1.33826,1
305,1.12821,1.66430,1
306,1.17147,1.99034,1
307,1.21602,2.31638,1
308,1.26188,2.64242,1
309,1.30910,2.96846,1
310,1.35769,3.29450,1
311,1.40768,4.98865,1
312,1.45910,6.68280,1
313,1.51198,8.37695,1
314,1.56633,10.0711,1
315,1.62219,11.7652,1
316,1.67959,13.4594,1
317,1.73855,15.1535,1
318,1.79910,16.8477,1
319,1.86127,18.5418,1
320,1.92508,20.2360,1
321,1.99057,21.9177,1
322,2.05776,23.5995,1
323,2.12667,25.2812,1
324,2.19734,26.9630,1
325,2.26980,28.6447,1
326,2.34406,30.3265,1
327,2.42017,32.0082,1
328,2.49814,33.6900,1
329,2.57801,35.3717,1
330,2.65981,37.0535,1
331,2.74355,37.3430,1
332,2.82928,37.6326,1
333,2.91701,37.9221,1
334,3.00678,38.2116,1
335,3.09861,38.5011,1
336,3.19253,38.7907,1
337,3.28857,39.0802,1
338,3.38676,39.3697,1
339,3.48712,39.6593,1
340,3.58968,39.9488,1
341,3.69447,40.4451,1
342,3.80152,40.9414,1
343,3.91085,41.4377,1
344,4.02250,41.9340,1
345,4.13648,42.4302,1
346,4.25282,42.9265,1
347,4.37156,43.4228,1
348,4.49272,43.9191,1
349,4.61631,44.4154,1
350,4.74238,44.9117,1
351,4.87095,45.0844,1
352,5.00204,45.2570,1
353,5.13568,45.4297,1
354,5.27189,45.6023,1
355,5.41070,45.7750,1
356,5.55213,45.9477,1
357,5.69622,46.1203,1
358,5.84298,46.2930,1
359,5.99244,46.4656,1
360,6.14462,46.6383,1
361,6.29955,47.1834,1
362,6.45724,47.7285,1
363,6.61774,48.2735,1
364,6.78105,48.8186,1
365,6.94720,49.3637,1
366,7.11621,49.9088,1
367,7.28811,50.4539,1
368,7.46292,50.9989,1
369,7.64066,51.5440,1
370,7.82135,52.0891,1
371,8.00501,51.8777,1
372,8.19167,51.6664,1
373,8.38134,51.4550,1
374,8.57404,51.2437,1
375,8.76980,51.0323,1
376,8.96864,50.8209,1
377,9.17056,50.6096,1
378,9.37561,50.3982,1
379,9.58378,50.1869,1
380,9.79510,49.9755,1
381,10.0096,50.4428,1
382,10.2273,50.9100,1
383,10.4481,51.3773,1
384,10.6722,51.8446,1
385,10.8996,52.3118,1
386,11.1302,52.7791,1
387,11.3640,53.2464,1
388,11.6012,53.7137,1
389,11.8416,54.1809,1
390,12.0853,54.6482,1
391,12.3324,57.4589,1
392,12.5828,60.2695,1
393,12.8366,63.0802,1
394,13.0938,65.8909,1
395,13.3543,68.7015,1
396,13.6182,71.5122,1
397,13.8855,74.3229,1
398,14.1563,77.1336,1
399,14.4304,79.9442,1
400,14.7080,82.7549,1
401,14.9891,83.6280,1
402,15.2736,84.5011,1
403,15.5616,85.3742,1
404,15.8530,86.2473,1
405,16.1480,87.1204,1
406,16.4464,87.9936,1
407,16.7484,88.8667,1
408,17.0538,89.7398,1
409,17.3628,90.6129,1
410,17.6753,91.4860,1
411,17.9913,91.6806,1
412,18.3108,91.8752,1
413,18.6339,92.0697,1
414,18.9605,92.2643,1
415,19.2907,92.4589,1
416,19.6244,92.6535,1
417,19.9617,92.8481,1
418,20.3026,93.0426,1
419,20.6470,93.2372,1
420,20.9950,93.4318,1
421,21.3465,92.7568,1
422,21.7016,92.0819,1
423,22.0603,91.4069,1
424,22.4225,90.7320,1
425,22.7883,90.0570,1
426,23.1577,89.3821,1
427,23.5307,88.7071,1
428,23.9072,88.0322,1
429,24.2873,87.3572,1
430,24.6709,86.6823,1
431,25.0581,88.5006,1
432,25.4489,90.3188,1
433,25.8432,92.1371,1
434,26.2411,93.9554,1
435,26.6425,95.7736,1
436,27.0475,97.5919,1
437,27.4560,99.4102,1
438,27.8681,101.228,1
439,28.2836,103.047,1
440,28.7027,104.865,1
441,29.1253,106.079,1
442,29.5515,107.294,1
443,29.9811,108.508,1
444,30.4142,109.722,1
445,30.8508,110.936,1
446,31.2909,112.151,1
447,31.7345,113.365,1
448,32.1815,114.579,1
449,32.6320,115.794,1
450,33.0859,117.008,1
451,33.5432,117.088,1
452,34.0040,117.169,1
453,34.4682,117.249,1
454,34.9358,117.330,1
455,35.4068,117.410,1
456,35.8811,117.490,1
457,36.3588,117.571,1
458,36.8399,117.651,1
459,37.3243,117.732,1
460,37.8121,117.812,1
461,38.3031,117.517,1
462,38.7975,117.222,1
463,39.2951,116.927,1
464,39.7960,116.632,1
465,40.3002,116.336,1
466,40.8076,116.041,1
467,41.3182,115.746,1
468,41.8320,115.451,1
469,42.3491,115.156,1
470,42.8693,114.861,1
471,43.3926,114.967,1
472,43.9192,115.073,1
473,44.4488,115.180,1
474,44.9816,115.286,1
475,45.5174,115.392,1
476,46.0563,115.498,1
477,46.5983,115.604,1
478,47.1433,115.711,1
479,47.6913,115.817,1
480,48.2423,115.923,1
481,48.7963,115.212,1
482,49.3533,114.501,1
483,49.9132,113.789,1
484,50.4760,113.078,1
485,51.0418,112.367,1
486,51.6104,111.656,1
487,52.1818,110.945,1
488,52.7561,110.233,1
489,53.3332,109.522,1
490,53.9132,108.811,1
491,54.4958,108.865,1
492,55.0813,108.920,1
493,55.6694,108.974,1
494,56.2603,109.028,1
495,56.8539,109.082,1
496,57.4501,109.137,1
497,58.0489,109.191,1
498,58.6504,109.245,1
499,59.2545,109.300,1
500,59.8611,109.354,1
501,60.4703,109.199,1
502,61.0820,109.044,1
503,61.6962,108.888,1
504,62.3128,108.733,1
505,62.9320,108.578,1
506,63.5535,108.423,1
507,64.1775,108.268,1
508,64.8038,108.112,1
509,65.4325,107.957,1
510,66.0635,107.802,1
511,66.6968,107.501,1
512,67.3324,107.200,1
513,67.9702,106.898,1
514,68.6102,106.597,1
515,69.2525,106.296,1
516,69.8969,105.995,1
517,70.5435,105.694,1
518,71.1922,105.392,1
519,71.8430,105.091,1
520,72.4959,104.790,1
521,73.1508,105.080,1
522,73.8077,105.370,1
523,74.4666,105.660,1
524,75.1275,105.950,1
525,75.7903,106.239,1
526,76.4551,106.529,1
527,77.1217,106.819,1
528,77.7902,107.109,1
529,78.4605,107.399,1
530,79.1326,107.689,1
531,79.8065,107.361,1
532,80.4821,107.032,1
533,81.1595,106.704,1
534,81.8386,106.375,1
535,82.5193,106.047,1
536,83.2017,105.719,1
537,83.8856,105.390,1
538,84.5712,105.062,1
539,85.2584,104.733,1
540,85.9470,104.405,1
541,86.6372,104.369,1
542,87.3288,104.333,1
543,88.0219,104.297,1
544,88.7165,104.261,1
545,89.4124,104.225,1
546,90.1097,104.190,1
547,90.8083,104.154,1
548,91.5082,104.118,1
549,92.2095,104.082,1
550,92.9120,104.046,1
551,93.6157,103.641,1
552,94.3206,103.237,1
553,95.0267,102.832,1
554,95.7339,102.428,1
555,96.4423,102.023,1
556,97.1518,101.618,1
557,97.8623,101.214,1
558,98.5739,100.809,1
559,99.2864,100.405,1
560,100.000,100.000,1
561,100.715,99.6334,1
562,101.430,99.2668,1
563,102.146,98.9003,1
564,102.864,98.5337,1
565,103.582,98.1671,1
566,104.301,97.8005,1
567,105.020,97.4339,1
568,105.741,97.0674,1
569,106.462,96.7008,1
570,107.184,96.3342,1
571,107.906,96.2796,1
572,108.630,96.2250,1
573,109.354,96.1703,1
574,110.078,96.1157,1
575,110.803,96.0611,1
576,111.529,96.0065,1
577,112.255,95.9519,1
578,112.982,95.8972,1
579,113.709,95.8426,1
580,114.436,95.7880,1
581,115.164,95.0778,1
582,115.893,94.3675,1
583,116.622,93.6573,1
584,117.351,92.9470,1
585,118.080,92.2368,1
586,118.810,91.5266,1
587,119.540,90.8163,1
588,120.270,90.1061,1
589,121.001,89.3958,1
590,121.731,88.6856,1
591,122.462,88.8177,1
592,123.193,88.9497,1
593,123.924,89.0818,1
594,124.655,89.2138,1
595,125.386,89.3459,1
596,126.118,89.4780,1
597,126.849,89.6100,1
598,127.58,89.7421,1
599,128.312,89.8741,1
600,129.043,90.0062,1
601,129.774,89.9655,1
602,130.505,89.9248,1
603,131.236,89.8841,1
604,131.966,89.8434,1
605,132.697,89.8026,1
606,133.427,89.7619,1
607,134.157,89.7212,1
608,134.887,89.6805,1
609,135.617,89.6398,1
610,136.346,89.5991,1
611,137.075,89.4091,1
612,137.804,89.2190,1
613,138.532,89.0290,1
614,139.260,88.8389,1
615,139.988,88.6489,1
616,140.715,88.4589,1
617,141.441,88.2688,1
618,142.167,88.0788,1
619,142.893,87.8887,1
620,143.618,87.6987,1
621,144.343,87.2577,1
622,145.067,86.8167,1
623,145.790,86.3757,1
624,146.513,85.9347,1
625,147.235,85.4936,1
626,147.957,85.0526,1
627,148.678,84.6116,1
628,149.398,84.1706,1
629,150.117,83.7296,1
630,150.836,83.2886,1
631,151.554,83.3297,1
632,152.271,83.3707,1
633,152.988,83.4118,1
634,153.704,83.4528,1
635,154.418,83.4939,1
636,155.132,83.5350,1
637,155.845,83.5760,1
638,156.558,83.6171,1
639,157.269,83.6581,1
640,157.979,83.6992,1
641,158.689,83.3320,1
642,159.397,82.9647,1
643,160.104,82.5975,1
644,160.811,82.2302,1
645,161.516,81.8630,1
646,162.221,81.4958,1
647,162.924,81.1285,1
648,163.626,80.7613,1
649,164.327,80.3940,1
650,165.028,80.0268,1
651,165.726,80.0456,1
652,166.424,80.0644,1
653,167.121,80.0831,1
654,167.816,80.1019,1
655,168.510,80.1207,1
656,169.203,80.1395,1
657,169.895,80.1583,1
658,170.586,80.1770,1
659,171.275,80.1958,1
660,171.963,80.2146,1
661,172.650,80.4209,1
662,173.335,80.6272,1
663,174.019,80.8336,1
664,174.702,81.0399,1
665,175.383,81.2462,1
666,176.063,81.4525,1
667,176.741,81.6588,1
668,177.419,81.8652,1
669,178.094,82.0715,1
670,178.769,82.2778,1
671,179.441,81.8784,1
672,180.113,81.4791,1
673,180.783,81.0797,1
674,181.451,80.6804,1
675,182.118,80.2810,1
676,182.783,79.8816,1
677,183.447,79.4823,1
678,184.109,79.0829,1
679,184.770,78.6836,1
680,185.429,78.2842,1
681,186.087,77.4279,1
682,186.743,76.5716,1
683,187.397,75.7153,1
684,188.050,74.8590,1
685,188.701,74.0027,1
686,189.350,73.1465,1
687,189.998,72.2902,1
688,190.644,71.4339,1
689,191.288,70.5776,1
690,191.931,69.7213,1
691,192.572,69.9101,1
692,193.211,70.0989,1
693,193.849,70.2876,1
694,194.484,70.4764,1
695,195.118,70.6652,1
696,195.750,70.8540,1
697,196.381,71.0428,1
698,197.009,71.2315,1
699,197.636,71.4203,1
700,198.261,71.6091,1
701,198.884,71.8831,1
702,199.506,72.1571,1
703,200.125,72.4311,1
704,200.743,72.7051,1
705,201.359,72.9790,1
706,201.972,73.2530,1
707,202.584,73.5270,1
708,203.195,73.8010,1
709,203.803,74.0750,1
710,204.409,74.3490,1
711,205.013,73.0745,1
712,205.616,71.8000,1
713,206.216,70.5255,1
714,206.815,69.2510,1
715,207.411,67.9765,1
716,208.006,66.7020,1
717,208.599,65.4275,1
718,209.189,64.1530,1
719,209.778,62.8785,1
720,210.365,61.6040,1
721,210.949,62.4322,1
722,211.532,63.2603,1
723,212.112,64.0885,1
724,212.691,64.9166,1
725,213.268,65.7448,1
726,213.842,66.5730,1
727,214.415,67.4011,1
728,214.985,68.2293,1
729,215.553,69.0574,1
730,216.120,69.8856,1
731,216.684,70.4057,1
732,217.246,70.9259,1
733,217.806,71.4460,1
734,218.364,71.9662,1
735,218.920,72.4863,1
736,219.473,73.0064,1
737,220.025,73.5266,1
738,220.574,74.0467,1
739,221.122,74.5669,1
740,221.667,75.0870,1
741,222.210,73.9376,1
742,222.751,72.7881,1
743,223.290,71.6387,1
744,223.826,70.4893,1
745,224.361,69.3398,1
746,224.893,68.1904,1
747,225.423,67.0410,1
748,225.951,65.8916,1
749,226.477,64.7421,1
750,227.000,63.5927,1
751,227.522,61.8752,1
752,228.041,60.1578,1
753,228.558,58.4403,1
754,229.073,56.7229,1
755,229.585,55.0054,1
756,230.096,53.2880,1
757,230.604,51.5705,1
758,231.110,49.8531,1
759,231.614,48.1356,1
760,232.115,46.4182,1
761,232.615,48.4569,1
762,233.112,50.4956,1
763,233.606,52.5344,1
764,234.099,54.5731,1
765,234.589,56.6118,1
766,235.078,58.6505,1
767,235.564,60.6892,1
768,236.047,62.7280,1
769,236.529,64.7667,1
770,237.008,66.8054,1
771,237.485,66.4631,1
772,237.959,66.1209,1
773,238.432,65.7786,1
774,238.902,65.4364,1
775,239.370,65.0941,1
776,239.836,64.7518,1
777,240.299,64.4096,1
778,240.760,64.0673,1
779,241.219,63.7251,1
780,241.675,63.3828,1
781,242.130,63.4749,1
782,242.582,63.5670,1
783,243.031,63.6592,1
784,243.479,63.7513,1
785,243.924,63.8434,1
786,244.367,63.9355,1
787,244.808,64.0276,1
788,245.246,64.1198,1
789,245.682,64.2119,1
790,246.116,64.3040,1
791,246.548,63.8188,1
792,246.977,63.3336,1
793,247.404,62.8484,1
794,247.829,62.3632,1
795,248.251,61.8779,1
796,248.671,61.3927,1
797,249.089,60.9075,1
798,249.505,60.4223,1
799,249.918,59.9371,1
800,250.329,59.4519,1
801,250.738,58.7026,1
802,251.144,57.9533,1
803,251.548,57.2040,1
804,251.950,56.4547,1
805,252.350,55.7054,1
806,252.747,54.9562,1
807,253.142,54.2069,1
808,253.535,53.4576,1
809,253.925,52.7083,1
810,254.314,51.9590,1
811,254.700,52.5072,1
812,255.083,53.0553,1
813,255.465,53.6035,1
814,255.844,54.1516,1
815,256.221,54.6998,1
816,256.595,55.2480,1
817,256.968,55.7961,1
818,257.338,56.3443,1
819,257.706,56.8924,1
820,258.071,57.4406,1
821,258.434,57.7278,1
822,258.795,58.0150,1
823,259.154,58.3022,1
824,259.511,58.5894,1
825,259.865,58.8765,1
826,260.217,59.1637,1
827,260.567,59.4509,1
828,260.914,59.7381,1
829,261.259,60.0253,1
830,261.602,60.3125,1
